location,total_sqft,price,bhk
Electronic City Phase II,1056,39.07,2
Chikka Tirupathi,2600,120,4
Uttarahalli,1440,62,3
Lingadheeranahalli,1521,95,3
Kothanur,1200,51,2
Whitefield,1170,38,2
Old Airport Road,2732,204,4
Rajaji Nagar,3300,600,4
Marathahalli,1310,63.25,3
other,1020,370,6
Whitefield,1800,70,3
Whitefield,2785,295,4
7th Phase JP Nagar,1000,38,2
Gottigere,1100,40,2
Sarjapur,2250,148,3
Mysore Road,1175,73.5,2
Bisuvanahalli,1180,48,3
Raja Rajeshwari Nagar,1540,60,3
other,2770,290,3
other,1100,48,2
Kengeri,600,15,1
Binny Pete,1755,122,3
Thanisandra,2800,380,4
Bellandur,1767,103,3
Thanisandra,510,25.25,1
other,1250,56,3
Electronic City,660,23.1,2
Whitefield,1610,81,3
Ramagondanahalli,1151,48.77,2
Electronic City,1025,47,3
Yelahanka,2475,186,4
Bisuvanahalli,1075,35,3
Hebbal,1760,123,3
Raja Rajeshwari Nagar,1693,57.39,3
Kasturi Nagar,1925,125,3
Kanakpura Road,700,36,2
Electronics City Phase 1,1070,45.5,2
Kundalahalli,1724,125,3
Chikkalasandra,1290,56.12,3
Uttarahalli,1143,45,2
Murugeshpalya,1296,81,2
Sarjapur  Road,1254,38,3
other,600,38,1
Yelahanka,660,48,1
Kanakpura Road,1330.74,91.79,2
HSR Layout,600,200,8
Doddathoguru,970,33,2
Whitefield,1459,94.82,2
KR Puram,800,130,2
other,869,36,2
other,1270,50,2
Bhoganhalli,1670,99,3
Whitefield,2010,91,3
Lakshminarayana Pura,1185,75,2
Yelahanka,1600,75,3
Begur Road,1200,44,2
Devanahalli,3210,192,4
other,1500,185,2
Murugeshpalya,1407,150,6
other,840,45,2
other,4395,240,3
other,845,55,2
Whitefield,5700,650,4
Varthur,1160,44,2
Bommanahalli,3000,140,8
Doddathoguru,1100,62,2
Gunjur,1140,43,2
Marathahalli,1220,57,2
Devarachikkanahalli,1350,85,8
Kanakpura Road,1005,36.68,2
other,500,100,3
Begur Road,1358,80.58,2
Hegde Nagar,1569,101,3
Haralur Road,1240,70,2
Hennur Road,2089,140,3
Kothannur,1206,48.23,2
Kalena Agrahara,1150,40,2
other,2511,205,3
Kaval Byrasandra,460,22,2
ISRO Layout,4400,250,6
other,1660,105,3
Hennur Road,3203.5,224.5,4
Yelahanka,1326,78,2
Garudachar Palya,1325,60.8,3
EPIP Zone,1499,102,3
Hegde Nagar,3000,210,6
Kanakpura Road,1665,88,3
Dasanapura,708,37,2
Kasavanhalli,1060,58.06,2
Rajaji Nagar,710,160,6
Sanjay nagar,1000,70,2
Electronic City,1000,28.88,2
other,1450,70,3
ISRO Layout,1200,155,4
Thanisandra,1296,80,2
Domlur,1540,90,3
Kengeri,2894,245,4
Sarjapura - Attibele Road,1330,48,3
other,1200,65,2
other,1200,90,3
Yeshwanthpur,2502,138,3
Chandapura,650,17,2
Kothanur,2400,150,3
other,1007,43,2
other,1200,50,2
other,966,49.9,2
Nagarbhavi,1630,98,3
Rajaji Nagar,1640,229,3
other,782,55.68,2
Devanahalli,1260,66.78,2
other,1800,120,3
other,1413,75,3
Whitefield,1116,51.91,2
Electronic City,1530,45.9,3
Ramamurthy Nagar,3700,225,4
Sarjapur  Road,2497,140,3
Kengeri,1540,64,3
Thanisandra,1436,74.75,3
Malleshwaram,1100,75,2
Hennur Road,276,23,2
Thanisandra,1427,120,3
Akshaya Nagar,2061,200,3
Hebbal,5611.5,477,4
Shampura,2650,150,4
Devanahalli,1282,68.52,3
Kadugodi,1050,34,2
LB Shastri Nagar,1600,65,3
other,945,54,2
Hormavu,1500,78,2
Vishwapriya Layout,950,115,7
other,1870,110,3
Sarjapur,1600,75,3
Electronic City,880,16.5,2
other,1200,210,4
Kudlu Gate,1535,83,3
Kanakpura Road,950,57,2
Devanahalli,1360,65,2
8th Phase JP Nagar,1073.5,54.005,2
Bommasandra Industrial Area,1280,50.4,3
other,1260,85.05,3
Hennur Road,5000,250,8
Yelahanka,3050,213,5
Kasavanhalli,1563.05,105,3
ISRO Layout,1000,60,2
Anandapura,1167,43.76,2
Vishveshwarya Layout,4000,225,7
Kothanur,1828,110,3
Kengeri Satellite Town,890,35,2
other,1612,46.74,3
other,1034,185,6
Mysore Road,1710,91.31,3
Kannamangala,957,58,2
Devarachikkanahalli,1250,44,3
other,2795,235,3
Hulimavu,1125,50,2
Electronic City Phase II,1020,30.6,2
Kalena Agrahara,1200,50,2
Thanisandra,1735,135,3
Thanisandra,2050,145,3
Mahalakshmi Layout,3750,760,4
other,1350,48,3
Hosa Road,1063,32,2
other,1904,150,3
Whitefield,4200,420,4
other,2000,175,3
Sarjapur,1242.5,43.49,2
other,1425,75,3
Electronic City,1500,64.5,3
Electronic City,1060,60,2
other,1470,70,3
other,1300,99,6
Attibele,450,11,1
Electronic City,1152,64.5,2
Electronic City,1350,56,3
CV Raman Nagar,1550,65,3
other,1500,100,3
Kumaraswami Layout,600,85,5
Nagavara,400,14,1
Malleshwaram,705,67,1
Electronic City,770,36,2
Hulimavu,1242,51,2
Hebbal Kempapura,1700,155,3
Thanisandra,2144,145,3
Vijayanagar,1704,110,3
Electronic City,1070,52,2
other,1846,300,3
other,1340,55.7,2
Electronic City,1025,46,2
KR Puram,1277.5,56.8,2
Marathahalli,1200,52,2
Kanakpura Road,2250,110,4
Pattandur Agrahara,1550,80,3
Bellandur,1200,325,4
other,1800,250,7
Marathahalli,1200,60,2
Yelahanka,1327,98,2
Kothanur,1186,58,2
other,1783,115,3
HSR Layout,1400,56,3
Nagasandra,980,48,2
EPIP Zone,1285,82,2
other,912,70,3
Whitefield,1225,47.6,2
Whitefield,1075,53,2
